Substance,Macro-region,Sector,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GWP_100_AR5_CH4,Eastern Asia,Fires,12.81544954,12.44860104,18.48347343,15.89909006,11.25551715,11.25551715,7.75302527,2.784301262,12.51902518,9.880413923,15.01303968,4.852874794,0.96981977,2.94332714,2.415468032,1.174645261,1.080799266,1.540710707,3.565723989,1.803838743,1.13406406,1.437379434,1.107513236,0.909712178,1.904539874,1.321417207,0.978704755,0.701588376,0.88006439,1.00876774,0.757778421,0.564587502,0.629372445
GWP_100_AR5_CO2,Eastern Asia,Fires,141.1352753,138.6917935,191.50869,145.7805697,118.6155052,118.6155052,74.98889808,25.6200266,128.4816784,104.8680515,153.2243858,54.51818119,7.250100142,26.34519529,16.1981105,8.793798228,6.855536133,8.397319741,31.45066608,16.84197543,10.89384737,9.834860933,6.117731091,7.380625796,16.3243828,8.265507391,7.799445578,6.045657471,10.15987875,9.46788708,8.297050811,5.598484224,5.006497535
GWP_100_AR5_N2O,Eastern Asia,Fires,6.920432606,6.807695114,9.569265611,7.941308346,5.927641505,5.927641505,4.042303852,1.543129806,6.560238355,5.108332103,7.982334647,2.662628076,0.60840807,1.759693719,1.293275485,0.731505852,0.661909507,0.933313967,1.849702743,0.992720466,0.671101582,0.931731159,0.786027519,0.591617638,1.09097427,0.873859824,0.635515818,0.404002445,0.478857666,0.572427547,0.418506024,0.306621353,0.359227908
GWP_100_AR5_CO2,Eastern Asia,Forest Land,-616.3878598,-625.3816033,-630.5870005,-643.366377,-654.3199694,-645.8724778,-653.3577158,-660.7494124,-673.6922526,-681.6771975,-693.2212035,-702.1655465,-705.1416051,-712.1863492,-721.2504978,-728.6051662,-719.6315802,-673.2406719,-634.165533,-597.6289955,-593.3826647,-599.1769672,-590.559999,-597.6402481,-668.78773,-660.3038185,-620.6697154,-602.9179035,-595.392749,-603.8144098,-606.7775302,-220.3654543,-298.5901176
GWP_100_AR5_CO2,Eastern Asia,Other Land,201.9761218,201.9761218,201.9761218,201.9761218,201.9761218,135.9761218,69.97612177,3.976121772,-62.02387823,-128.0238782,-194.0238782,-193.9205082,-193.7748082,-193.6669382,-193.5995582,-193.4114182,-204.0847806,-214.8162929,-225.6172853,-236.4909976,-247.49684,-262.75132,-278.7238,-294.15843,-309.49942,-309.96781,-310.05356,-310.05356,-310.05356,-310.05356,-310.05356,-310.05356,-310.05356
GWP_100_AR5_CO2,Eurasia,Deforestation,15.97376134,13.40522854,12.9555704,12.70808848,9.821114716,11.06193388,9.372194149,8.064850372,7.943117746,8.424023954,8.322485115,7.360165388,8.315638919,8.414764518,9.113521384,9.476807208,10.25888295,10.9920446,10.29947093,13.73445117,9.847220736,12.67445284,11.57968236,10.64388602,6.899525928,15.08618824,4.962790046,5.422774955,3.694234935,13.13567885,2.933710841,18.39811689,18.39811689
GWP_100_AR5_CH4,Eurasia,Fires,34.76090767,36.83564217,33.36043303,21.27197094,48.01907197,48.01907197,43.92382251,27.55824223,18.1124817,35.44790511,41.96015558,13.92283574,39.01519638,69.02180829,30.40782294,40.33918743,32.30122459,22.28425702,82.75642837,32.7052209,37.1392429,28.92179916,54.76814233,29.84318185,41.24718627,18.15799905,38.46975191,20.34443969,57.45423322,34.83317621,27.25319214,34.13751153,15.872738
GWP_100_AR5_CO2,Eurasia,Fires,413.9428849,438.0502278,391.4689233,258.249563,589.5045048,589.5045048,535.4011569,348.2732428,194.7124831,428.4582309,506.3939966,156.1993055,172.2579862,362.9308928,170.0769293,144.9992608,160.2545794,98.20398667,354.0317894,149.3744857,193.5259368,175.4494024,280.2124235,129.9165917,260.6222033,97.85664074,203.1271563,109.4968588,254.1740571,196.5582537,152.3391734,188.2505853,90.21472392
GWP_100_AR5_N2O,Eurasia,Fires,18.67479421,19.84174285,18.50555196,11.82093539,26.15273438,26.15273438,23.66761964,15.36743159,10.55370686,19.89764592,23.33026743,8.161449245,10.3594696,12.90658919,8.906476369,6.444932284,8.838534895,5.039465852,11.17328018,5.266122078,8.721245214,6.711873139,9.428612899,3.237780743,10.61345655,5.271090678,6.450852202,7.088886571,7.085507506,8.138667858,5.351381336,6.594951472,3.404414751
GWP_100_AR5_CO2,Eurasia,Forest Land,-1796.772355,-1793.849244,-1792.064845,-1920.094951,-2065.062052,-2057.231493,-2085.146945,-1996.234703,-2042.41427,-1990.56442,-1961.567027,-1946.98769,-1944.23192,-1923.720659,-1912.539248,-1904.808684,-1888.925547,-1856.263059,-1993.393903,-2002.700816,-1948.42812,-1912.607349,-1892.838304,-1894.624139,-1867.149373,-1860.638736,-1853.939944,-1851.934526,-1776.313111,-1805.277483,-1804.306878,-1805.384415,-1801.762217
